Dia,Suseptibles,Infectados,Personas Sanas,Recuperados
dia 342,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 343,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 344,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 345,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 346,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 347,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 348,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 349,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 350,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 351,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 352,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 353,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 354,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 355,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 356,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 357,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 358,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 359,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 360,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 361,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 362,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 363,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 364,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 365,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 366,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 367,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 368,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 369,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 370,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 371,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 372,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 373,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
dia 374,suseptibles 1118,infectados 0,personas sanas 8000,recuperados 6882
